order_id,customer_id,pharmacy_id,order_status,order_date,delivery_address,payment_status
Ord1,U319,U72,Delivered,2024-01-01 11:25:00,"USNS Hoffman
FPO AA 16016",Completed
Ord2,U716,U95,Delivered,2024-01-01 15:55:00,"28898 Villa Walk Apt. 309
New Seanhaven, GU 08438",Completed
Ord3,U466,U46,Delivered,2024-01-03 16:18:00,"9898 Hardin Meadow Apt. 489
South Ashley, WA 68464",Completed
Ord4,U217,U50,Delivered,2024-01-04 11:13:00,"376 Brown Forest
Robertfort, NJ 45380",Completed
Ord5,U292,U58,Delivered,2024-01-04 18:42:00,"7676 Ashley Track Apt. 601
Port Elizabethberg, WA 29851",Completed
Ord6,U299,U28,Delivered,2024-01-05 09:00:00,"PSC 4955, Box 5401
APO AE 42010",Completed
Ord7,U649,U101,Delivered,2024-01-05 10:59:00,"761 Michael Course
East Jennifer, MO 16227",Completed
Ord8,U596,U48,Delivered,2024-01-05 11:31:00,"84675 Hayes Station Suite 705
Bonillaborough, DC 80385",Completed
Ord9,U820,U63,Delivered,2024-01-05 14:45:00,"507 Susan Meadow
New Jasontown, IA 82850",Completed
Ord10,U638,U68,Delivered,2024-01-05 16:45:00,"7121 House Brooks Apt. 486
South Isaiahmouth, PW 04563",Completed
Ord11,U655,U16,Delivered,2024-01-05 17:41:00,"1648 Davis Flats Suite 884
Moralesberg, SC 72212",Completed
Ord12,U204,U88,Delivered,2024-01-06 11:48:00,"26320 Andrew Rapids
Tuckerland, MN 14460",Completed
Ord13,U467,U34,Delivered,2024-01-07 13:11:00,"3938 Thomas Port
Catherineland, LA 74348",Completed
Ord14,U543,U29,Delivered,2024-01-07 17:01:00,"Unit 4387 Box 0830
DPO AE 33605",Completed
Ord15,U640,U51,Delivered,2024-01-08 13:10:00,"454 Bryant Mountain
Robertville, AK 37190",Completed
Ord16,U925,U25,Delivered,2024-01-08 13:31:00,"905 Trevino Inlet Apt. 308
Barryborough, VT 62976",Completed
Ord17,U811,U55,Delivered,2024-01-08 14:47:00,"928 Michael Courts Apt. 143
Zavalachester, AR 18588",Completed
Ord18,U602,U21,Delivered,2024-01-08 16:32:00,"5469 Allen Landing
North Tomborough, OH 81533",Completed
Ord19,U735,U19,Delivered,2024-01-08 17:20:00,"323 Michael Glens
Port Laurafort, PW 12222",Completed
Ord20,U659,U19,Delivered,2024-01-09 11:51:00,"60533 Edwards Isle
Lake Brendashire, VT 01168",Completed
Ord21,U976,U75,Delivered,2024-01-09 13:45:00,"25724 Knight Stream Apt. 357
South Ericahaven, SC 30694",Completed
Ord22,U713,U57,Cancelled,2024-01-09 15:59:00,"9150 Edwin Dale
Williamville, OH 02736",Refunded
Ord23,U348,U54,Delivered,2024-01-09 18:14:00,"829 Riggs Key
West Brittanymouth, ND 46230",Completed
Ord24,U323,U78,Delivered,2024-01-10 11:15:00,"138 Karen Skyway
New Jessica, SC 73657",Completed
Ord25,U729,U94,Delivered,2024-01-10 15:52:00,"436 Harper Ridge Apt. 212
Tanyaport, MN 08264",Completed
Ord26,U702,U87,Delivered,2024-01-11 16:26:00,"60081 Jack Cove
North Christopherchester, OH 48826",Completed
Ord27,U778,U101,Cancelled,2024-01-11 18:05:00,"993 Lane Parks Apt. 474
Brandonhaven, NV 18534",Refunded
Ord28,U707,U73,Delivered,2024-01-12 09:37:00,"4189 Shaun Wall
Robbinsland, GA 53004",Completed
Ord29,U935,U24,Delivered,2024-01-12 10:34:00,"57181 Michael Street
Jonathanhaven, LA 86257",Completed
Ord30,U260,U89,Delivered,2024-01-12 15:25:00,"8346 Salazar Fork Apt. 776
Lake Brittanystad, NC 79583",Completed
Ord31,U263,U83,Delivered,2024-01-12 16:05:00,"20097 Sanford Well Apt. 416
Sandersborough, WI 74703",Completed
Ord32,U851,U78,Delivered,2024-01-12 18:15:00,"1307 Ward Curve
Mariashire, OH 64158",Completed
Ord33,U707,U97,Delivered,2024-01-13 10:24:00,"9363 Judith Bypass
Rachelfort, OH 35259",Completed
Ord34,U495,U56,Delivered,2024-01-13 10:58:00,"90638 Donna Lights
Smithmouth, WV 81287",Completed
Ord35,U593,U49,Delivered,2024-01-13 13:29:00,"765 Matthew Lodge Apt. 787
Lake Danielmouth, MS 74332",Completed
Ord36,U689,U68,Delivered,2024-01-13 17:02:00,"006 Julie Harbors Apt. 040
West Joseph, VI 01741",Completed
Ord37,U523,U41,Cancelled,2024-01-14 16:03:00,"8418 Lawson Row Apt. 479
Turnerport, MH 03966",Refunded
Ord38,U232,U49,Delivered,2024-01-15 13:34:00,"PSC 1600, Box 2992
APO AE 06858",Completed
Ord39,U393,U16,Delivered,2024-01-16 13:25:00,"64688 Kylie Fords Apt. 728
North Brittanychester, FL 43352",Completed
Ord40,U778,U74,Delivered,2024-01-16 17:51:00,"0300 David Center
South Adrian, NY 96981",Completed
Ord41,U510,U97,Delivered,2024-01-16 17:59:00,"82965 Morgan Crossing Suite 079
Patelchester, MS 77530",Completed
Ord42,U898,U36,Delivered,2024-01-17 10:30:00,"31586 Francisco Harbor
Peterschester, MH 81589",Completed
Ord43,U351,U41,Delivered,2024-01-17 11:18:00,"PSC 0572, Box 1709
APO AE 67593",Completed
Ord44,U603,U35,Delivered,2024-01-17 13:18:00,"834 Kim Street
Port Stephenberg, IN 88563",Completed
Ord45,U644,U28,Delivered,2024-01-17 15:17:00,"45541 Burnett Village Suite 607
Collinsstad, NJ 17753",Completed
Ord46,U817,U22,Delivered,2024-01-18 14:23:00,"2267 Meagan Orchard Suite 603
North John, HI 30217",Completed
Ord47,U998,U95,Delivered,2024-01-18 15:23:00,"7454 Anderson Street
North Melissa, TN 36790",Completed
Ord48,U595,U72,Delivered,2024-01-18 16:17:00,"85903 William Unions Apt. 459
Gomezmouth, MT 29297",Completed
Ord49,U226,U33,Delivered,2024-01-19 10:12:00,"159 Gaines Mountains Suite 414
Lake Christinaborough, MH 14280",Completed
Ord50,U818,U8,Delivered,2024-01-19 12:24:00,"52100 Tucker Neck
Barrettton, PW 98680",Completed
Ord51,U872,U36,Delivered,2024-01-19 13:43:00,"USNV Thompson
FPO AE 39558",Completed
Ord52,U828,U78,Delivered,2024-01-19 17:22:00,"02818 Jeffrey Light Apt. 190
New Emily, OK 74881",Completed
Ord53,U316,U9,Delivered,2024-01-20 09:06:00,"4099 Klein Union Apt. 686
Ninatown, MP 52864",Completed
Ord54,U275,U90,Delivered,2024-01-20 14:39:00,"3676 Zuniga Grove Suite 337
Port Davidborough, OK 76400",Completed
Ord55,U602,U41,Delivered,2024-01-20 16:49:00,"693 Thompson Point
Stewartport, WY 83936",Completed
Ord56,U783,U10,Delivered,2024-01-20 17:10:00,"6971 Brittany Circles
Jonathanside, RI 72635",Completed
Ord57,U927,U57,Cancelled,2024-01-20 17:36:00,"867 Hailey Shoal Suite 773
New Lydiashire, AL 77649",Refunded
Ord58,U955,U65,Delivered,2024-01-21 09:12:00,"0265 Justin Spur Apt. 395
East Suzanneborough, VA 12718",Completed
Ord59,U995,U28,Delivered,2024-01-21 11:19:00,"3016 Veronica Shore Suite 774
New Michaelmouth, WY 40577",Completed
Ord60,U502,U86,Delivered,2024-01-21 15:39:00,"422 Donald Hollow
Petersonchester, ND 66009",Completed
Ord61,U848,U34,Delivered,2024-01-22 11:56:00,"16075 Morris Crest
Kathleenville, GA 68905",Completed
Ord62,U414,U45,Delivered,2024-01-22 15:47:00,"165 Jones Mills
West Robertstad, NJ 29693",Completed
Ord63,U293,U36,Delivered,2024-01-22 18:51:00,"897 James Crescent Apt. 627
Larsenview, AK 38138",Completed
Ord64,U660,U68,Delivered,2024-01-23 15:29:00,"95687 Elizabeth Tunnel Suite 863
Thomasmouth, HI 95976",Completed
Ord65,U554,U95,Delivered,2024-01-23 16:52:00,"0111 Tristan Union
West Stephen, WA 09798",Completed
Ord66,U311,U82,Delivered,2024-01-23 18:27:00,"0312 Jennifer Village Apt. 815
Sarahchester, NM 27612",Completed
Ord67,U250,U5,Delivered,2024-01-23 18:39:00,"67776 Omar Lock
Lake Elizabethchester, DE 56716",Completed
Ord68,U289,U3,Delivered,2024-01-24 12:04:00,"86448 Cochran Divide
Maddenmouth, IA 26246",Completed
Ord69,U891,U24,Delivered,2024-01-24 13:05:00,"88709 Heidi Street
Ramirezport, AK 86978",Completed
Ord70,U308,U45,Delivered,2024-01-24 17:20:00,"Unit 2332 Box 2311
DPO AE 68640",Completed
Ord71,U434,U76,Delivered,2024-01-25 10:40:00,"47736 Amanda Garden Suite 114
North Rickyburgh, MS 55272",Completed
Ord72,U390,U54,Delivered,2024-01-25 15:14:00,"83124 Castaneda Mountain Suite 215
South Cameronside, IL 59356",Completed
Ord73,U858,U16,Delivered,2024-01-25 16:27:00,"81793 Mitchell Grove Suite 384
Smithtown, FM 76826",Completed
Ord74,U428,U9,Delivered,2024-01-25 17:09:00,"020 Adams Road Apt. 748
New Kristystad, IL 82972",Completed
Ord75,U699,U101,Delivered,2024-01-25 17:51:00,"682 Christopher Roads Suite 022
West Gina, NV 74727",Completed
Ord76,U476,U12,Delivered,2024-01-26 11:53:00,"Unit 4821 Box 1536
DPO AP 19484",Completed
Ord77,U767,U55,Delivered,2024-01-26 11:56:00,"232 Marshall Bridge Apt. 165
Greerview, SD 74259",Completed
Ord78,U809,U60,Delivered,2024-01-26 12:10:00,"372 Cochran Walk
Michaelview, AK 75189",Completed
Ord79,U244,U10,Delivered,2024-01-26 14:00:00,"2439 Steven Gardens
Port Elizabethview, AK 58578",Completed
Ord80,U801,U19,Cancelled,2024-01-26 17:05:00,"838 Ballard Corners Suite 096
East Patrick, SD 30752",Refunded
Ord81,U651,U96,Delivered,2024-01-26 17:20:00,"189 Patrick Street Apt. 194
Markfort, ME 79102",Completed
Ord82,U817,U68,Delivered,2024-01-27 11:13:00,"8080 Fleming Crescent
Leonbury, OK 30884",Completed
Ord83,U265,U10,Delivered,2024-01-27 11:59:00,"08874 Thompson Springs Suite 914
Alibury, NV 59408",Completed
Ord84,U704,U69,Delivered,2024-01-28 09:43:00,"36205 Aaron Crossroad
Mannchester, GA 26166",Completed
Ord85,U533,U13,Delivered,2024-01-28 10:16:00,"899 Allison Curve Apt. 878
North Ashley, IA 56738",Completed
Ord86,U641,U71,Delivered,2024-01-28 12:07:00,"92176 Ingram Via Apt. 156
Sandersstad, DE 91998",Completed
Ord87,U361,U15,Delivered,2024-01-28 14:53:00,"9078 Amy Shoal
West Jasonmouth, NM 39213",Completed
Ord88,U890,U33,Delivered,2024-01-28 15:52:00,"5235 Thomas Ports Apt. 982
East Gabriel, NJ 39789",Completed
Ord89,U631,U30,Delivered,2024-01-28 16:58:00,"756 Cynthia Turnpike
Riggschester, MP 32995",Completed
Ord90,U217,U62,Delivered,2024-01-29 15:07:00,"72255 Keith Walk
North Lori, CO 02299",Completed
Ord91,U412,U30,Delivered,2024-01-29 17:28:00,"81449 Benjamin Mountain
Walkerside, VT 40691",Completed
Ord92,U694,U101,Delivered,2024-01-30 09:27:00,"61006 Smith Locks Suite 071
Cookton, VA 88900",Completed
Ord93,U872,U60,Delivered,2024-01-30 10:35:00,"81327 Summers Mall Apt. 285
North Robert, MN 41852",Completed
Ord94,U884,U23,Delivered,2024-01-30 12:38:00,"032 Martinez Underpass Apt. 246
Amymouth, LA 73787",Completed
Ord95,U368,U50,Delivered,2024-01-30 14:20:00,"6412 Tina Turnpike
Port Danielmouth, PA 44534",Completed
Ord96,U286,U57,Delivered,2024-02-01 12:26:00,"26179 Andrew Extension
Kirkborough, ND 40857",Completed
Ord97,U674,U22,Delivered,2024-02-01 12:48:00,"35196 Spencer Causeway Apt. 869
West Hunterfort, KS 43906",Completed
Ord98,U637,U36,Delivered,2024-02-01 16:13:00,"967 Gregory Via Suite 713
Port Shannonmouth, MH 80645",Completed
Ord99,U370,U79,Delivered,2024-02-03 11:01:00,"124 Joseph Loop Apt. 840
Olsenberg, PR 19915",Completed
Ord100,U405,U97,Delivered,2024-02-03 11:18:00,"47868 Cassandra Underpass
West Thomasview, OK 56289",Completed
Ord101,U449,U83,Delivered,2024-02-03 13:22:00,"USS Combs
FPO AA 38775",Completed
Ord102,U744,U15,Delivered,2024-02-03 14:04:00,"1086 Michelle Well
South Williamshire, IA 65237",Completed
Ord103,U811,U35,Delivered,2024-02-03 15:01:00,"10917 Flynn Rapids Suite 143
South Kevinburgh, NY 26727",Completed
Ord104,U227,U42,Delivered,2024-02-03 18:18:00,"5657 Gillespie Station Apt. 651
Alexandrafurt, NC 20455",Completed
