user_id,name,email,phone_number,user_type,address,registered_on
U1,Vivek Karnakar,VivekKarnakar@yahoo.com,(899)567-4182x3,Admin,"38766 Medina Passage Apt. 449
Kristenchester, OK 63105",2024-01-01 00:00:00
U2,Apex Health Solutions,ApexHealthSolutions@gmail.com,+1-871-441-5097,Pharmacy,"0425 Hickman Plains Suite 237
Jonesville, CO 80472",2024-01-01 00:00:00
U3,Beacon Pharmacy,BeaconPharmacy@hotmail.com,(280)973-1694x1,Pharmacy,"40201 Finley Plains Apt. 234
Gregorytown, MI 50304",2024-01-01 00:00:00
U4,Blue Ridge Remedies,BlueRidgeRemedies@gmail.com,683-898-7190,Pharmacy,"66146 Laurie Creek
Lindseyland, MP 47943",2024-01-01 00:00:00
U5,Cardinal Care Pharmacy,CardinalCarePharmacy@hotmail.com,979-229-7133,Pharmacy,"26981 Stephanie Pine
East Bradley, GU 45162",2024-01-01 00:00:00
U6,Cedar Creek Apothecary,CedarCreekApothecary@yahoo.com,(381)852-4120,Pharmacy,"033 Mason Crescent Apt. 395
Nathanielview, PR 35462",2024-01-01 00:00:00
U7,Centennial Wellness Center,CentennialWellnessCenter@yahoo.com,001-782-570-658,Pharmacy,"52213 Matthews Cape Apt. 332
Ayerstown, VI 60506",2024-01-01 00:00:00
U8,Charter Oak Pharmacy,CharterOakPharmacy@hotmail.com,665-829-1410x92,Pharmacy,"0710 Sparks Rapids Suite 408
Louismouth, AZ 82858",2024-01-01 00:00:00
U9,Clearview Rx,ClearviewRx@yahoo.com,848-479-0971x57,Pharmacy,"190 Wesley Shores Apt. 285
Stephaniefort, MA 49564",2024-01-01 00:00:00
U10,Compass Point Pharmacy,CompassPointPharmacy@hotmail.com,+1-587-979-5990,Pharmacy,"4549 Laura Cove
North Annachester, MD 52513",2024-01-01 00:00:00
U11,Cornerstone Health,CornerstoneHealth@gmail.com,(367)294-1746x1,Pharmacy,"82464 Becker Streets
South Margaretburgh, ME 68711",2024-01-01 00:00:00
U12,Crestview Pharmacy,CrestviewPharmacy@gmail.com,778.361.1670x67,Pharmacy,"6840 Phillip Forge
East Christopherfurt, IN 83193",2024-01-01 00:00:00
U13,Diamond Drug Center,DiamondDrugCenter@gmail.com,(392)546-4158x8,Pharmacy,"763 Martin Brook Apt. 311
Jonesville, TX 18631",2024-01-01 00:00:00
U14,Eagle Rock Pharmacy,EagleRockPharmacy@gmail.com,806-884-3680x10,Pharmacy,"06871 Reynolds Field Suite 912
Foxberg, GU 79372",2024-01-01 00:00:00
U15,Emerald Coast Pharmacy,EmeraldCoastPharmacy@hotmail.com,(995)356-5004,Pharmacy,"9771 Johnston Drive
Kathleenside, AS 96278",2024-01-01 00:00:00
U16,Evergreen Wellness,EvergreenWellness@hotmail.com,993-659-8921,Pharmacy,"94489 Torres Divide Apt. 128
Donnaport, NC 67491",2024-01-01 00:00:00
U17,Fairview Pharmacy,FairviewPharmacy@gmail.com,671.956.3476,Pharmacy,"8277 Stephen Bypass
Jimenezshire, TX 96782",2024-01-01 00:00:00
U18,First Coast Remedies,FirstCoastRemedies@yahoo.com,541-335-3632,Pharmacy,"62986 Richard Ports
Hansonfort, MA 57911",2024-01-01 00:00:00
U19,Forest Hill Pharmacy,ForestHillPharmacy@yahoo.com,+1-821-999-2535,Pharmacy,"208 Roberts Summit
Lake Edwardbury, MH 62874",2024-01-01 00:00:00
U20,Gateway Health,GatewayHealth@gmail.com,818-762-7973,Pharmacy,"583 Estrada Wells Suite 520
Jensenmouth, CT 24368",2024-01-01 00:00:00
U21,Golden Gate Pharmacy,GoldenGatePharmacy@yahoo.com,+1-629-851-7738,Pharmacy,"8630 Lewis Ridges Apt. 657
Johnsonport, MO 71043",2024-01-01 00:00:00
U22,Grand Central Pharmacy,GrandCentralPharmacy@hotmail.com,(822)512-4809,Pharmacy,"Unit 7351 Box 2220
DPO AP 44090",2024-01-01 00:00:00
U23,Green Valley Apothecary,GreenValleyApothecary@gmail.com,633.460.8532,Pharmacy,"6145 Baird Shoals
Garciamouth, KS 38354",2024-01-01 00:00:00
U24,Harbor View Pharmacy,HarborViewPharmacy@hotmail.com,914.516.8889,Pharmacy,"6513 Hughes Mountains
Nicolemouth, NY 63821",2024-01-01 00:00:00
U25,Heritage Health Center,HeritageHealthCenter@hotmail.com,410-353-9091x55,Pharmacy,"50709 Shannon Road
Piercefurt, ID 28484",2024-01-01 00:00:00
U26,Highland Park Pharmacy,HighlandParkPharmacy@yahoo.com,(305)348-1057x4,Pharmacy,"88959 Mitchell Mews Suite 060
Rogerschester, NJ 33423",2024-01-01 00:00:00
U27,Horizon Rx,HorizonRx@yahoo.com,+1-857-224-0364,Pharmacy,"2353 Harris Way
Port Brett, MH 13092",2024-01-01 00:00:00
U28,Ivy League Pharmacy,IvyLeaguePharmacy@hotmail.com,+1-838-767-7040,Pharmacy,"90455 Gene Mission
West Whitney, FM 47283",2024-01-01 00:00:00
U29,Jasper Wellness,JasperWellness@hotmail.com,001-687-867-002,Pharmacy,"5629 Reed Crossroad
Parkerborough, MO 99866",2024-01-01 00:00:00
U30,Keystone Pharmacy,KeystonePharmacy@hotmail.com,(295)411-2538,Pharmacy,"169 Kramer Stravenue
Schneiderberg, DE 46442",2024-01-01 00:00:00
U31,Lakeview Pharmacy,LakeviewPharmacy@hotmail.com,553-759-3568x10,Pharmacy,"USCGC Kelly
FPO AE 60418",2024-01-01 00:00:00
U32,Liberty Drug Store,LibertyDrugStore@gmail.com,373-312-5208,Pharmacy,"905 Crane Light
North Heidiville, RI 29965",2024-01-01 00:00:00
U33,Magnolia Health,MagnoliaHealth@yahoo.com,215.696.3019,Pharmacy,"341 Michael Fort
New Ericaland, MO 37426",2024-01-01 00:00:00
U34,Maplewood Pharmacy,MaplewoodPharmacy@hotmail.com,+1-816-337-0839,Pharmacy,"USNS Gray
FPO AA 16015",2024-01-01 00:00:00
U35,Meadowbrook Pharmacy,MeadowbrookPharmacy@hotmail.com,(591)908-6842x2,Pharmacy,"841 Melanie Row Suite 787
Lake William, MA 04240",2024-01-01 00:00:00
